6381,22
17040,22
20121,4
42299,24
50938,11
56499,7
82418,4
121302,11
124750,24
137260,20
187353,11
206339,7
326617,22
387285,17
396819,28
397686,3
410892,23
442779,3
472316,28
478236,3
493611,4
505412,22
508567,20
514563,22
540741,17
581703,22
597392,24
627426,11
630761,11
633838,22
637953,24
641231,3
661011,7
662848,22
740337,24
757395,24
762950,20
767538,4
849323,17
868877,3
904245,11
909662,11
921578,4
1051735,28
1076973,22
1099536,3
1110759,7
1134399,4
1193072,24
1196235,17
1206231,28
1207611,28
1211475,4
1212101,24
1230285,20
1285413,4
1362077,22
1392940,7
1396103,24
1471204,23
1477220,11
1508835,21
1527036,20
1545662,24
1554234,20
1681672,24
1891438,11
1893691,10
1921216,28
1946148,4
1965185,10
2042857,25
2124848,25
2176792,20
2195529,3
2249309,3
2254752,24
2327912,22
2343895,20
2414508,24
2548431,7
2565806,4
2621047,4
2653410,24
2693359,7
2704552,24
2710625,7
2724242,18
2724246,20
2764943,24
2825606,24
2870754,3
2884541,17
2905851,4
3006631,28
3058616,4
3129909,10
3199550,17
3210296,4
3274368,11
3319875,11
3383130,7
3437575,28
3478283,4
3505098,8
3510661,25
3531187,4
3569311,24
3607642,10
3684671,3
3701771,25
3733434,4
3743832,25
3744401,28
3799228,22
3807425,22
3823686,28
3861303,22
3872242,22
3884401,30
3892445,22
3971854,7
3997434,24
4124119,4
4226073,4
4256395,3
4258824,3
4278057,28
4286450,11
4290209,22
4339617,7
4368293,20
4403194,4
4454704,24
4463952,3
4487551,28
4508545,24
4515897,24
4522709,7
4537918,10
4559368,20
4614380,24
4629854,23
4717267,7
4749778,2
4789251,7
4801882,22
4829881,20
4922666,24
4928666,10
4979448,25
5044001,17
5071170,24
5118633,11
5126007,28
5163287,23
5199021,20
5202361,9
5319152,10
5336068,3
5374053,22
5376062,22
5377107,20
5407955,7
5429978,7
5492982,28
5495864,11
5580073,10
5615382,20
5625668,11
5683352,17
5698455,7
5727100,20
5760873,24
5781704,24
5802547,23
5851767,28
5877570,3
5887220,20
5909800,10
5993949,22
6043301,3
6069879,10
6071542,24
6094582,20
6113660,7
6200724,4
6220091,20
6221114,4
6359636,10
6389465,28
6419647,17
6419716,28
6443520,20
6516347,32
6565309,28
6568296,7
6610866,10
6676568,7
6711912,24
6712657,10
6723358,25
6782969,28
6814281,4
6819574,11
6821914,24
6825712,24
6905044,22
6912612,3
6922360,17
6983348,22
6991018,17
7011971,17
7026426,4
7041860,28
7045363,3
7057053,10
7114785,24
7185473,3
7278779,4
7404296,23
7452474,11
7541140,17
7557241,4
7559207,7
7587216,7
7589724,10
7637648,11
7687764,4
7711440,22
7918762,20
7921346,24
7966197,25
8032908,24
8033088,20
8039127,24
8066888,20
8072825,26
8095928,24
8101696,17
8119531,11
8152089,11
8178345,22
8182260,24
8206042,10
8224748,3
8271746,3
8316962,4
8352204,20
8353191,22
8363218,4
8435342,21
8463408,7
8488219,4
8497835,4
8591983,25
8620420,28
8624837,10
8771609,4
8781737,24
8789282,11
8797023,17
8804255,24
8852779,28
8864443,10
8872375,10
8878900,17
8894036,28
8921099,4
8933818,10
9013378,22
9018624,20
9058276,10
9065498,11
9080979,3
9092490,4
9105879,11
9131237,7
9148229,3
9173049,4
9382059,7
9428412,28
9432799,24
9449958,10
9452167,3
9464159,22
9468158,24
9503563,24
9527971,10
9647722,11
9655399,10
9674523,22
9840853,11
9893195,28
9907510,20
9941457,24
9962994,22
10012754,7
10047978,24
10088594,20
10111182,20
10123689,28
10128834,3
10144605,7
10145055,11
10182957,10
10194982,22
10201808,3
10216262,20
10256320,24
10262678,22
10302064,20
10356050,22
10371956,3
10390482,25
10405587,23
10415954,20
10440504,23
10447042,4
10481729,3
10516198,10
10560129,25
10592453,24
10725324,13
10778524,22
10839718,7
10910089,20
10922923,10
10975194,28
11004228,11
11016533,28
11088443,3
11140245,10
11145156,20
11182632,3
11233898,4
11242016,11
11291711,4
11313526,11
11320417,10
11345098,22
11377100,17
11431090,10
11466926,24
11496506,24
11508952,22
11515384,24
11524373,17
11564656,4
11571444,4
11597939,28
11601240,4
11667732,24
11694655,30
11695180,20
11702103,20
11704520,20
11718745,24
11758473,28
11808833,10
11868484,24
11877611,4
11936610,28
11966537,24
11986619,28
12031462,17
12047832,24
12058036,22
12080407,25
12099511,10
12119861,24
12185638,20
12187841,22
12192065,24
12200607,22
12249416,7
12276279,4
12352729,32
12386949,20
12395767,4
12439303,4
12489607,10
12491085,4
12535280,20
12538080,24
12561963,7
12661229,11
12786599,11
12793607,3
12872109,4
12886505,10
12955039,22
13012313,24
13020038,28
13116711,20
13127705,28
13202982,24
13205157,17
13209468,24
13243689,22
13309626,10
13338146,10
13349650,28
13377401,24
13393815,20
13507469,4
13564311,28
13578852,10
13583195,24
13593765,22
13600925,20
13658268,7
13758023,7
13789274,24
13792250,22
13800785,3
13820111,17
13836022,3
13898178,24
13916625,24
14036796,23
14044459,28
14044471,3
14046290,22
14054613,22
14057485,7
14119716,3
14154388,4
14167903,4
14203108,3
14203204,4
14209341,17
14268638,10
14309369,7
14314596,20
14314698,3
14366034,3
14375931,28
14395568,4
14407149,17
14409152,10
14422141,10
14507857,3
14622369,10
